budget,primary_genre,original_title,overview,production_company,release_date,revenue,runtime,tagline,title
58000000,Adventure,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,United Artists,35019,352194034,130,No limits. No fears. No substitutes.,GoldenEye
52000000,Drama,Casino,The life of the gambling paradise Las Vegas and its dark mafia underbelly.,Universal Pictures,35025,116112375,178,No one stays at the top forever.,Casino
16500000,Drama,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",Columbia Pictures Corporation,35046,135000000,136,Lose your heart and come to your senses.,Sense and Sensibility
4000000,Crime,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,Miramax Films,35042,4300000,98,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms
60000000,Action,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",Columbia Pictures,35024,35431113,103,"Get on, or GET OUT THE WAY!",Money Train
3600000,Drama,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",United Artists,34999,49800000,112,I Love You... The Way You Are.,Leaving Las Vegas
20000000,Fantasy,To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",The Rank Organisation,34839,21284514,106,All she wanted was a little attention.,To Die For
3500000,Comedy,Friday,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",New Line Cinema,34815,28215918,91,A lot can go down between thursday and saturday...,Friday
50000000,Action,Fair Game,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",Silver Pictures,35006,11534477,91,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,Fair Game
15000000,Comedy,Big Bully,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",Warner Bros.,35090,2042530,90,A comedy for the kid in all of us.,Big Bully
